,postcode,ins_avg,ins_total,out_avg,out_total,suburb,state
264,2216,30.714285714285715,645.0,155.8538095238095,3272.93,ROCKDALE DC,NSW
265,2217,34.904761904761905,733.0,192.65585714285717,4045.7729999999997,BEVERLEY PARK,NSW
266,2218,21.857142857142854,459.0,100.94238095238094,2119.79,CARLTON,NSW
267,2219,25.285714285714285,531.0,136.25400000000002,2861.3340000000007,DOLLS POINT,NSW
268,2220,44.33333333333334,931.0,219.26766666666663,4604.620999999999,HURSTVILLE,NSW
269,2221,38.095238095238095,800.0,214.12342857142852,4496.592000000001,CONNELLS POINT,NSW
270,2222,19.142857142857142,402.0,88.6492857142857,1861.635,PENSHURST,NSW
271,2223,50.0,1050.0,256.6825238095238,5390.3330000000005,MORTDALE,NSW
272,2224,33.666666666666664,707.0,193.08019047619047,4054.684,KANGAROO POINT,NSW
273,2225,16.0,336.0,85.50376190476193,1795.5790000000004,OYSTER BAY,NSW
274,2226,40.57142857142857,852.0,182.79647619047614,3838.726,BONNET BAY,NSW
275,2227,33.04761904761905,694.0,166.39809523809518,3494.36,GYMEA,NSW
276,2228,39.66666666666666,833.0,207.69961904761902,4361.691999999999,MIRANDA,NSW
277,2229,65.66666666666667,1379.0,421.91352380952384,8860.184000000001,TAREN POINT,NSW
278,2230,62.57142857142857,1314.0,351.4760476190476,7380.996999999999,MAIANBAR,NSW
279,2231,10.714285714285714,225.0,69.96466666666666,1469.2579999999996,KURNELL,NSW
280,2232,83.90476190476191,1762.0,420.58152380952384,8832.212,KIRRAWEE DC,NSW
281,2233,101.04761904761904,2122.0,481.6154285714286,10113.924,ENGADINE,NSW
282,2234,124.95238095238096,2624.0,687.781380952381,14443.409,MENAI,NSW
283,2250,302.61904761904765,6355.0,1737.030095238095,36477.632000000005,MOUNT ELLIOT,NSW
284,2251,149.66666666666666,3143.0,697.7405714285715,14652.552,SARATOGA,NSW
285,2256,68.33333333333333,1435.0,315.6073333333333,6627.754,BLACKWALL,NSW
286,2257,117.09523809523809,2459.0,539.4175714285714,11327.768999999998,ST HUBERTS ISLAND,NSW
287,2258,25.33333333333333,532.0,149.59561904761904,3141.508,FOUNTAINDALE,NSW
288,2259,385.80952380952385,8102.0,1928.0327619047614,40488.688,WYONG CREEK,NSW
289,2260,101.95238095238096,2141.0,526.7249047619049,11061.223000000002,ERINA HEIGHTS,NSW
